"SiparisDetayID","SiparisID","UrunID","Adet","Fiyat"
"1","236","2","5","2593.27"
"2","95","26","3","4268.07"
"3","97","158","2","4332.0"
"4","51","107","2","6624.09"
"5","37","38","4","6836.41"
"6","52","11","5","6073.61"
"7","83","78","1","8028.36"
"8","156","11","2","3359.43"
"9","230","59","4","5376.0"
"10","190","97","2","3317.09"
"11","152","117","3","5198.87"
"12","129","179","4","8898.02"
"13","149","171","5","9281.77"
"14","26","116","4","4381.29"
"15","207","104","3","3000.73"
"16","233","222","3","3653.17"
"17","118","107","4","8276.27"
"18","69","60","2","8990.96"
"19","216","120","2","2030.08"
"20","116","169","5","7861.64"
"21","102","58","2","895.73"
"22","162","103","2","8279.73"
"23","97","30","5","8279.73"
"24","131","75","2","7590.72"
"25","59","54","2","4332.0"
"26","41","63","4","8064.65"
"27","241","217","1","8245.55"
"28","92","102","3","117.19"
"29","85","49","2","4759.83"
"30","84","21","3","8279.73"
"31","35","121","4","3517.4"
"32","137","82","4","5421.73"
"33","71","59","5","8322.54"
"34","192","48","2","3493.51"
"35","115","176","2","2980.08"
"36","7","123","4","2184.02"
"37","26","35","4","2795.17"
"38","163","145","3","8927.21"
"39","46","64","2","2393.69"
"40","229","10","1","4691.98"
"41","38","117","3","3861.99"
"42","208","250","2","935.63"
"43","151","3","1","343.56"
"44","15","82","1","8276.27"
"45","17","247","3","2357.34"
"46","108","146","5","9101.74"
"47","151","88","3","1552.44"
"48","237","108","1","9246.01"
"49","190","116","5","6184.65"
"50","229","112","1","6523.86"
"51","189","153","1","7678.67"
"52","125","3","1","9101.74"
"53","155","180","2","3946.18"
"54","123","208","3","332.23"
"55","179","197","3","1832.16"
"56","87","102","4","1376.32"
"57","48","247","2","6531.36"
"58","224","222","2","342.76"
"59","6","93","3","6258.58"
"60","205","104","1","7531.84"
"61","107","228","3","610.54"
"62","241","210","4","4759.83"
"63","226","114","3","1552.44"
"64","234","202","3","9274.31"
"65","24","204","1","1376.32"
"66","17","211","5","623.12"
"67","63","202","4","860.86"
"68","231","21","4","7293.66"
"69","92","59","5","8780.7"
"70","162","7","3","2750.84"
"71","66","74","2","5882.15"
"72","185","113","2","7377.15"
"73","135","14","5","7531.84"
"74","185","155","3","4195.2"
"75","154","5","3","9246.01"
"76","4","38","2","4944.56"
"77","146","219","3","9850.45"
"78","62","96","4","487.71"
"79","43","18","5","5717.45"
"80","75","134","1","8274.0"
"81","89","238","2","3861.99"
"82","71","87","2","4381.29"
"83","203","228","2","798.93"
"84","226","56","2","9737.03"
"85","74","105","2","4103.75"
"86","137","71","3","2118.94"
"87","147","142","2","4268.07"
"88","116","199","3","4268.07"
"89","81","226","5","9602.36"
"90","56","190","2","5520.54"
"91","190","129","3","3359.43"
"92","20","117","1","5694.03"
"93","31","95","1","5537.03"
"94","65","44","1","1552.44"
"95","50","112","4","4268.07"
"96","128","250","5","7318.35"
"97","169","205","1","2593.27"
"98","233","45","5","5048.9"
"99","175","121","4","4332.0"
"100","227","76","3","5747.57"
"101","129","147","5","6345.23"
"102","172","212","2","3861.99"
"103","62","133","4","667.26"
"104","13","163","2","5649.6"
"105","54","130","2","4005.32"
"106","11","95","5","8383.47"
"107","180","99","4","9918.03"
"108","247","227","2","8383.47"
"109","27","54","2","1964.67"
"110","101","26","3","7762.99"
"111","236","9","4","5537.03"
"112","171","83","4","1958.48"
"113","64","113","5","3714.93"
"114","225","175","4","4603.14"
"115","51","170","4","2219.46"
"116","81","144","2","4980.31"
"117","244","213","4","1620.81"
"118","83","52","3","2273.83"
"119","217","154","1","9633.08"
"120","147","144","3","5674.3"
"121","59","49","2","6531.36"
"122","14","250","1","4225.21"
"123","194","162","1","2393.69"
"124","154","12","4","9246.01"
"125","45","83","3","6992.92"
"126","128","79","3","8752.32"
"127","17","55","3","2928.38"
"128","24","90","5","7116.97"
"129","80","117","5","1868.25"
"130","64","44","4","9870.59"
"131","115","147","1","4991.36"
"132","159","227","5","3370.73"
"133","147","23","3","9373.55"
"134","12","174","1","3189.38"
"135","104","64","2","8969.4"
"136","81","65","4","1868.25"
"137","7","49","1","3260.1"
"138","154","245","5","2980.08"
"139","42","57","2","1832.16"
"140","234","193","5","4005.32"
"141","30","60","2","7678.67"
"142","171","74","3","9534.79"
"143","248","116","2","2484.16"
"144","30","17","4","1958.48"
"145","23","74","2","4603.14"
"146","146","198","2","8773.08"
"147","42","228","3","5938.5"
"148","238","161","4","8898.02"
"149","73","161","2","5570.55"
"150","109","233","3","2731.93"
"151","55","117","2","6345.23"
"152","101","42","3","6836.41"
"153","11","129","5","8990.96"
"154","11","43","5","6807.95"
"155","72","101","3","788.45"
"156","196","21","1","2900.7"
"157","77","243","5","1964.67"
"158","188","225","2","6409.57"
"159","126","114","1","3653.17"
"160","14","63","3","1240.46"
"161","154","229","2","1964.67"
"162","173","41","5","9850.45"
"163","133","234","5","2357.34"
"164","143","86","2","7585.56"
"165","67","9","5","850.62"
"166","237","219","2","6636.82"
"167","156","155","3","5421.73"
"168","121","113","3","4332.0"
"169","114","214","3","7585.56"
"170","204","4","1","9635.82"
"171","14","30","3","6395.44"
"172","14","157","2","3056.89"
"173","132","250","3","8276.27"
"174","230","11","5","4759.83"
"175","167","104","5","1552.44"
"176","77","127","3","895.73"
"177","15","134","2","4551.09"
"178","52","13","2","2877.0"
"179","1","123","5","1240.46"
"180","129","179","1","802.74"
"181","129","197","3","343.56"
"182","184","18","2","5570.55"
"183","62","179","2","342.76"
"184","214","42","3","3612.93"
"185","40","181","5","1620.81"
"186","18","70","4","8714.13"
"187","133","18","1","2339.73"
"188","84","139","2","9314.48"
"189","97","111","3","3000.73"
"190","13","229","1","2030.08"
"191","135","109","1","5074.91"
"192","230","97","1","5747.57"
"193","40","197","5","7762.99"
"194","109","94","4","1964.67"
"195","76","117","2","6902.07"
"196","113","229","3","1240.46"
"197","35","86","1","5855.12"
"198","22","206","1","5747.57"
"199","158","7","3","4078.4"
"200","216","207","4","3946.18"
"201","114","58","2","7290.83"
"202","22","123","2","3600.83"
"203","185","203","4","9235.12"
"204","59","24","3","798.93"
"205","118","231","4","4323.09"
"206","224","12","3","5187.51"
"207","14","62","2","2393.69"
"208","79","225","2","7116.97"
"209","121","215","5","5968.04"
"210","81","80","1","3760.41"
"211","113","140","4","9281.77"
"212","58","239","2","7704.65"
"213","84","191","4","3714.93"
"214","125","113","4","2363.48"
"215","48","102","2","7686.94"
"216","110","42","4","9602.36"
"217","220","108","2","8714.13"
"218","129","126","2","5520.54"
"219","2","225","3","7293.66"
"220","206","23","4","8276.27"
"221","21","51","1","1240.46"
"222","34","205","4","3350.47"
"223","148","5","4","2750.84"
"224","57","234","3","4691.98"
"225","184","136","1","9918.03"
"226","71","144","4","2030.08"
"227","190","7","1","5376.0"
"228","33","200","3","1619.74"
"229","81","190","5","9373.55"
"230","149","227","1","716.9"
"231","108","124","4","6184.65"
"232","30","116","1","243.65"
"233","246","233","4","2339.73"
"234","69","202","2","6500.52"
"235","62","11","4","8780.7"
"236","165","207","5","9870.59"
"237","162","92","2","1080.52"
"238","204","93","4","3210.55"
"239","119","240","3","9314.48"
"240","30","45","2","3260.1"
"241","221","203","2","798.93"
"242","27","191","2","390.21"
"243","211","144","4","8705.35"
"244","64","141","1","6073.61"
"245","133","99","4","2705.63"
"246","186","146","3","4980.31"
"247","116","197","4","5998.88"
"248","30","165","4","8752.32"
"249","124","28","1","2593.27"
"250","172","248","3","3369.31"
"251","215","90","3","6184.65"
"252","178","48","3","6636.82"
"253","3","123","2","817.19"
"254","165","204","3","4005.32"
"255","167","31","4","9850.45"
"256","189","174","3","9235.12"
"257","29","156","1","1619.74"
"258","70","27","5","1564.64"
"259","78","215","1","3056.89"
"260","43","76","5","7652.6"
"261","160","109","5","4991.36"
"262","17","130","4","8032.75"
"263","249","222","5","7686.94"
"264","67","17","3","4046.54"
"265","143","204","1","9333.48"
"266","82","144","1","7573.36"
"267","179","54","4","1002.48"
"268","160","214","3","8773.08"
"269","35","180","4","6378.49"
"270","189","155","2","5777.69"
"271","217","9","1","2705.63"
"272","218","187","1","9246.01"
"273","244","59","3","5717.45"
"274","104","210","4","8032.75"
"275","156","234","1","7590.72"
"276","60","168","1","3600.83"
"277","49","30","4","6268.58"
"278","8","129","1","4021.52"
"279","247","209","2","395.17"
"280","119","199","1","1620.81"
"281","37","133","2","2554.45"
"282","123","197","2","2750.84"
"283","196","110","5","2651.16"
"284","172","5","3","2219.46"
"285","69","231","3","3612.93"
"286","35","43","5","6500.52"
"287","101","131","4","7410.31"
"288","108","236","5","6345.23"
"289","186","195","5","8752.32"
"290","222","105","1","7678.67"
"291","143","67","2","4999.8"
"292","142","179","4","8841.16"
"293","86","152","5","2705.63"
"294","135","239","3","8705.35"
"295","238","148","3","9870.59"
"296","26","243","1","9281.77"
"297","57","99","1","6191.38"
"298","82","6","3","3416.82"
"299","50","229","3","6378.49"
"300","129","240","3","6258.58"
"301","17","170","1","9534.79"
"302","241","165","5","9655.56"
"303","35","167","3","4005.32"
"304","138","180","1","8927.21"
"305","120","27","4","3600.83"
"306","177","249","3","117.19"
"307","189","211","5","3369.31"
"308","85","115","1","5187.51"
"309","243","123","3","8969.4"
"310","143","212","4","7590.72"
"311","57","138","5","395.17"
"312","158","70","4","6792.45"
"313","176","31","3","1620.81"
"314","141","130","3","5376.0"
"315","148","226","2","1058.54"
"316","103","79","1","9655.56"
"317","90","183","4","8927.21"
"318","230","24","1","6792.45"
"319","246","216","3","5938.5"
"320","189","32","2","6636.82"
"321","138","200","2","9235.12"
"322","183","110","4","1002.48"
"323","105","45","2","6312.49"
"324","15","203","5","1691.18"
"325","175","162","5","6624.09"
"326","201","144","4","2066.48"
"327","183","47","3","5421.73"
"328","91","61","4","767.03"
"329","198","243","3","390.21"
"330","196","176","4","1240.46"
"331","52","246","5","9633.08"
"332","45","163","1","7762.99"
"333","203","183","5","3370.73"
"334","16","67","1","4195.2"
"335","145","205","1","8245.55"
"336","151","160","5","9602.36"
"337","219","1","1","7413.4"
"338","151","31","1","3683.76"
"339","212","37","5","5998.88"
"340","193","213","3","667.26"
"341","94","28","3","5074.91"
"342","227","177","5","4139.24"
"343","134","203","5","3861.99"
"344","162","93","3","1620.81"
"345","193","146","5","3189.38"
"346","211","117","5","4046.54"
"347","63","218","1","2393.69"
"348","235","193","1","9281.77"
"349","26","203","2","5882.15"
"350","39","122","5","9534.79"
"351","89","69","3","1832.16"
"352","145","34","1","752.59"
"353","202","179","4","7762.99"
"354","103","42","5","8927.21"
"355","9","173","3","2118.94"
"356","45","52","1","2705.63"
"357","113","3","2","4999.8"
"358","79","48","5","5187.51"
